index	wnid	synset	name	lemmas
0	n01440764	tench.n.01	tench	tench, Tinca tinca
1	n01443537	goldfish.n.01	goldfish	goldfish, Carassius auratus
2	n01484850	great_white_shark.n.01	great white shark	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
3	n01491361	tiger_shark.n.01	tiger shark	tiger shark, Galeocerdo cuvieri
4	n01494475	hammerhead.n.03	hammerhead	hammerhead, hammerhead shark
5	n01496331	electric_ray.n.01	electric ray	electric ray, crampfish, numbfish, torpedo
6	n01498041	stingray.n.01	stingray	stingray
7	n01514668	cock.n.05	cock	cock
8	n01514859	hen.n.02	hen	hen
9	n01518878	ostrich.n.02	ostrich	ostrich, Struthio camelus
10	n01530575	brambling.n.01	brambling	brambling, Fringilla montifringilla
11	n01531178	goldfinch.n.02	goldfinch	goldfinch, Carduelis carduelis
12	n01532829	house_finch.n.01	house finch	house finch, linnet, Carpodacus mexicanus
13	n01534433	junco.n.01	junco	junco, snowbird
14	n01537544	indigo_bunting.n.01	indigo bunting	indigo bunting, indigo finch, indigo bird, Passerina cyanea
15	n01558993	robin.n.02	robin	robin, American robin, Turdus migratorius
16	n01560419	bulbul.n.01	bulbul	bulbul
17	n01580077	jay.n.02	jay	jay
18	n01582220	magpie.n.01	magpie	magpie
19	n01592084	chickadee.n.01	chickadee	chickadee
20	n01601694	water_ouzel.n.01	water ouzel	water ouzel, dipper
21	n01608432	kite.n.04	kite	kite
22	n01614925	bald_eagle.n.01	bald eagle	bald eagle, American eagle, Haliaeetus leucocephalus
23	n01616318	vulture.n.01	vulture	vulture
24	n01622779	great_grey_owl.n.01	great grey owl	great grey owl, great gray owl, Strix nebulosa
25	n01629819	european_fire_salamander.n.01	European fire salamander	European fire salamander, Salamandra salamandra
26	n01630670	common_newt.n.01	common newt	common newt, Triturus vulgaris
27	n01631663	eft.n.01	eft	eft
28	n01632458	spotted_salamander.n.01	spotted salamander	spotted salamander, Ambystoma maculatum
29	n01632777	axolotl.n.01	axolotl	axolotl, mud puppy, Ambystoma mexicanum
30	n01641577	bullfrog.n.01	bullfrog	bullfrog, Rana catesbeiana
31	n01644373	tree_frog.n.02	tree frog	tree frog, tree-frog
32	n01644900	tailed_frog.n.01	tailed frog	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
33	n01664065	loggerhead.n.02	loggerhead	loggerhead, loggerhead turtle, Caretta caretta
34	n01665541	leatherback_turtle.n.01	leatherback turtle	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
35	n01667114	mud_turtle.n.01	mud turtle	mud turtle
36	n01667778	terrapin.n.01	terrapin	terrapin
37	n01669191	box_turtle.n.01	box turtle	box turtle, box tortoise
38	n01675722	banded_gecko.n.01	banded gecko	banded gecko
39	n01677366	common_iguana.n.01	common iguana	common iguana, iguana, Iguana iguana
40	n01682714	american_chameleon.n.01	American chameleon	American chameleon, anole, Anolis carolinensis
41	n01685808	whiptail.n.01	whiptail	whiptail, whiptail lizard
42	n01687978	agama.n.01	agama	agama
43	n01688243	frilled_lizard.n.01	frilled lizard	frilled lizard, Chlamydosaurus kingi
44	n01689811	alligator_lizard.n.01	alligator lizard	alligator lizard
45	n01692333	gila_monster.n.01	Gila monster	Gila monster, Heloderma suspectum
46	n01693334	green_lizard.n.01	green lizard	green lizard, Lacerta viridis
47	n01694178	african_chameleon.n.01	African chameleon	African chameleon, Chamaeleo chamaeleon
48	n01695060	komodo_dragon.n.01	Komodo dragon	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
49	n01697457	african_crocodile.n.01	African crocodile	African crocodile, Nile crocodile, Crocodylus niloticus
50	n01698640	american_alligator.n.01	American alligator	American alligator, Alligator mississipiensis
51	n01704323	triceratops.n.01	triceratops	triceratops
52	n01728572	thunder_snake.n.01	thunder snake	thunder snake, worm snake, Carphophis amoenus
